peer,KPI,sort,Product,Hierarchy 1,average,Value,Rank,last,group,Code
Dashboarding-focused products,Business value,1,BOARD,Business value,6.615401841,6.302605197,12,,1,
Dashboarding-focused products,Business value,1,Chartio,Business value,6.615401841,7.361861039,8,,1,
Dashboarding-focused products,Business value,1,Cubeware,Business value,6.615401841,5.984083714,14,,1,
Dashboarding-focused products,Business value,1,CXO-Cockpit,Business value,6.615401841,5.715118751,16,,1,
Dashboarding-focused products,Business value,1,DigDash,Business value,6.615401841,7.088524979,9,,1,
Dashboarding-focused products,Business value,1,Dimensional Insight,Business value,6.615401841,7.744181808,5,,1,
Dashboarding-focused products,Business value,1,Domo,Business value,6.615401841,7.675808628,7,,1,
Dashboarding-focused products,Business value,1,Dundas,Business value,6.615401841,6.184398102,13,,1,
Dashboarding-focused products,Business value,1,Entrinsik,Business value,6.615401841,5.728754032,15,,1,
Dashboarding-focused products,Business value,1,Longview Analytics,Business value,6.615401841,6.41744215,11,,1,
Dashboarding-focused products,Business value,1,MS Power BI,Business value,6.615401841,6.762313574,10,,1,
Dashboarding-focused products,Business value,1,Pyramid Analytics,Business value,6.615401841,8.620738099,1,,1,
Dashboarding-focused products,Business value,1,QlikView,Business value,6.615401841,8.200646738,3,,1,
Dashboarding-focused products,Business value,1,SAP BO Design St.,Business value,6.615401841,2.762912218,19,,1,
Dashboarding-focused products,Business value,1,Sisense,Business value,6.615401841,7.739673722,6,,1,
Dashboarding-focused products,Business value,1,Tableau,Business value,6.615401841,5.529046292,17,,1,
Dashboarding-focused products,Business value,1,TARGIT,Business value,6.615401841,8.362754904,2,,1,
Dashboarding-focused products,Business value,1,TIBCO Spotfire,Business value,6.615401841,3.732378444,18,,1,
Dashboarding-focused products,Business value,1,Zoho Reports,Business value,6.615401841,7.779392585,4,,1,
Dashboarding-focused products,Business benefits,2,BOARD,Business value,6.46881084,6.748351509,10,,2,
Dashboarding-focused products,Business benefits,2,Chartio,Business value,6.46881084,7.785664469,7,,2,
Dashboarding-focused products,Business benefits,2,Cubeware,Business value,6.46881084,6.634679443,11,,2,
Dashboarding-focused products,Business benefits,2,CXO-Cockpit,Business value,6.46881084,2.743316044,18,,2,
Dashboarding-focused products,Business benefits,2,DigDash,Business value,6.46881084,5.937371212,13,,2,
Dashboarding-focused products,Business benefits,2,Dimensional Insight,Business value,6.46881084,8.429486966,5,,2,
Dashboarding-focused products,Business benefits,2,Domo,Business value,6.46881084,9.319997464,1,,2,
Dashboarding-focused products,Business benefits,2,Dundas,Business value,6.46881084,5.290496721,14,,2,
Dashboarding-focused products,Business benefits,2,Entrinsik,Business value,6.46881084,5.152583802,15,,2,
Dashboarding-focused products,Business benefits,2,Longview Analytics,Business value,6.46881084,6.399800886,12,,2,
Dashboarding-focused products,Business benefits,2,MS Power BI,Business value,6.46881084,7.114044282,9,,2,
Dashboarding-focused products,Business benefits,2,Pyramid Analytics,Business value,6.46881084,8.479267056,4,,2,
Dashboarding-focused products,Business benefits,2,QlikView,Business value,6.46881084,9.294466809,2,,2,
Dashboarding-focused products,Business benefits,2,SAP BO Design St.,Business value,6.46881084,1.561786711,19,,2,
Dashboarding-focused products,Business benefits,2,Sisense,Business value,6.46881084,7.815532523,6,,2,
Dashboarding-focused products,Business benefits,2,Tableau,Business value,6.46881084,5.023865077,16,,2,
Dashboarding-focused products,Business benefits,2,TARGIT,Business value,6.46881084,8.794540959,3,,2,
Dashboarding-focused products,Business benefits,2,TIBCO Spotfire,Business value,6.46881084,2.897751289,17,,2,
Dashboarding-focused products,Business benefits,2,Zoho Reports,Business value,6.46881084,7.484402739,8,,2,
Dashboarding-focused products,Project success,3,BOARD,Business value,6.640896866,6.371399439,11,,2,
Dashboarding-focused products,Project success,3,Chartio,Business value,6.640896866,5.407086413,16,,2,
Dashboarding-focused products,Project success,3,Cubeware,Business value,6.640896866,6.118413794,13,,2,
Dashboarding-focused products,Project success,3,CXO-Cockpit,Business value,6.640896866,8.792604409,2,,2,
Dashboarding-focused products,Project success,3,DigDash,Business value,6.640896866,7.767851453,5,,2,
Dashboarding-focused products,Project success,3,Dimensional Insight,Business value,6.640896866,7.221648309,7,,2,
Dashboarding-focused products,Project success,3,Domo,Business value,6.640896866,5.914096355,14,,2,
Dashboarding-focused products,Project success,3,Dundas,Business value,6.640896866,7.145406212,10,,2,
Dashboarding-focused products,Project success,3,Entrinsik,Business value,6.640896866,6.246275282,12,,2,
Dashboarding-focused products,Project success,3,Longview Analytics,Business value,6.640896866,7.877411447,3,,2,
Dashboarding-focused products,Project success,3,MS Power BI,Business value,6.640896866,5.74664353,15,,2,
Dashboarding-focused products,Project success,3,Pyramid Analytics,Business value,6.640896866,8.885737956,1,,2,
Dashboarding-focused products,Project success,3,QlikView,Business value,6.640896866,7.151544347,9,,2,
Dashboarding-focused products,Project success,3,SAP BO Design St.,Business value,6.640896866,3.886056589,19,,2,
Dashboarding-focused products,Project success,3,Sisense,Business value,6.640896866,7.221648309,6,,2,
Dashboarding-focused products,Project success,3,Tableau,Business value,6.640896866,5.204282437,17,,2,
Dashboarding-focused products,Project success,3,TARGIT,Business value,6.640896866,7.803860682,4,,2,
Dashboarding-focused products,Project success,3,TIBCO Spotfire,Business value,6.640896866,4.261619509,18,,2,
Dashboarding-focused products,Project success,3,Zoho Reports,Business value,6.640896866,7.153453989,8,,2,
Dashboarding-focused products,Project length,4,BOARD,Business value,7.004184792,4.827777778,16,,2,
Dashboarding-focused products,Project length,4,Chartio,Business value,7.004184792,10,1,,2,
Dashboarding-focused products,Project length,4,Cubeware,Business value,7.004184792,3.763636364,18,,2,
Dashboarding-focused products,Project length,4,CXO-Cockpit,Business value,7.004184792,8.475555556,6,,2,
Dashboarding-focused products,Project length,4,DigDash,Business value,7.004184792,9.183333333,3,,2,
Dashboarding-focused products,Project length,4,Dimensional Insight,Business value,7.004184792,6.733333333,12,,2,
Dashboarding-focused products,Project length,4,Domo,Business value,7.004184792,6.266666667,14,,2,
Dashboarding-focused products,Project length,4,Dundas,Business value,7.004184792,6.944086022,11,,2,
Dashboarding-focused products,Project length,4,Entrinsik,Business value,7.004184792,6.422222222,13,,2,
Dashboarding-focused products,Project length,4,Longview Analytics,Business value,7.004184792,3.55042735,19,,2,
Dashboarding-focused products,Project length,4,MS Power BI,Business value,7.004184792,7.738461538,8,,2,
Dashboarding-focused products,Project length,4,Pyramid Analytics,Business value,7.004184792,8.515151515,5,,2,
Dashboarding-focused products,Project length,4,QlikView,Business value,7.004184792,7.017391304,10,,2,
Dashboarding-focused products,Project length,4,SAP BO Design St.,Business value,7.004184792,4.12,17,,2,
Dashboarding-focused products,Project length,4,Sisense,Business value,7.004184792,8.548148148,4,,2,
Dashboarding-focused products,Project length,4,Tableau,Business value,7.004184792,7.694117647,9,,2,
Dashboarding-focused products,Project length,4,TARGIT,Business value,7.004184792,8.185185185,7,,2,
Dashboarding-focused products,Project length,4,TIBCO Spotfire,Business value,7.004184792,5.177777778,15,,2,
Dashboarding-focused products,Project length,4,Zoho Reports,Business value,7.004184792,9.916239316,2,,2,
Dashboarding-focused products,Customer satisfaction,5,BOARD,Customer satisfaction,6.962041314,6.942036565,10,,1,
Dashboarding-focused products,Customer satisfaction,5,Chartio,Customer satisfaction,6.962041314,6.655008747,13,,1,
Dashboarding-focused products,Customer satisfaction,5,Cubeware,Customer satisfaction,6.962041314,5.685119508,17,,1,
Dashboarding-focused products,Customer satisfaction,5,CXO-Cockpit,Customer satisfaction,6.962041314,8.73074898,2,,1,
Dashboarding-focused products,Customer satisfaction,5,DigDash,Customer satisfaction,6.962041314,6.584142337,14,,1,
Dashboarding-focused products,Customer satisfaction,5,Dimensional Insight,Customer satisfaction,6.962041314,9.047822945,1,,1,
