Regionfilter,Country filter,Employee filter,Industryfilter,IT-Business filter,Q20,Q2101101,Q2102101,Q2103101,Q2104101,Q2105101,Q2106101,Q2107101,Q2108101,Q2109101,Q2110101,Q2111101,Q2112101,Q2113101,Q22,Q23,Q2401102,Q2402102,Q2403102,Q2404102,Q2405102,Q2406102,Q2407102,Q2408102,Q2409102,Q2410102,Q2411102,Q2412102,Q2413102,Q2414102,Q2415102,Q2901103,Q2902103,Q2903103,Q2904103,Q2906103,Q2908103,Q2909103,Q2910103,Q2911103,Q2912103,Q2913103,Q2914103,Q2915103,Q2916103,Q2937103,Q2917103,Q2938103,Q2918103,Q2919103,Q2920103,Q2921103,Q2922103,Q2923103,Q2924103,Q2925103,Q2926103,Q2927103,Q2929103,Q2930103,Q2931103,Q2932103,Q2933103,Q2934103,Q2935103,Q3001104,Q3002104,Q3003104,Q3004104,Q3006104,Q3008104,Q3009104,Q3010104,Q3011104,Q3012104,Q3013104,Q3014104,Q3036104,Q3015104,Q3037104,Q3016104,Q3017104,Q3019104,Q3020104,Q3021104,Q3022104,Q3023104,Q3024104,Q3025104,Q3026104,Q3028104,Q3029104,Q3030104,Q3031104,Q3032104,Q3033104,Q3034104,Q3035104,Q3101105,Q3102105,Q3103105,Q3104105,Q3105105,Q3107105,Q3109105,Q3110105,Q3111105,Q3112105,Q3113105,Q3114105,Q3115105,Q3138105,Q3116105,Q3117105,Q3118105,Q3139105,Q3119105,Q3120105,Q3121105,Q3122105,Q3123105,Q3124105,Q3125105,Q3126105,Q3127105,Q3128105,Q3130105,Q3131105,Q3132105,Q3133105,Q3134105,Q3135105,Q3136105,Q3201106,Q3202106,Q3203106,Q3204106,Q3205106,Q3207106,Q3209106,Q3210106,Q3211106,Q3212106,Q3213106,Q3214106,Q3215106,Q3242106,Q3216106,Q3243106,Q3217106,Q3218106,Q3220106,Q3221106,Q3222106,Q3223106,Q3224106,Q3225106,Q3226106,Q3227106,Q3228106,Q3230106,Q3232106,Q3234106,Q3235106,Q3236106,Q3237106,Q3238106,Q3239106,Q3219106,Q3240106,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q35_6,Q35_7,Q36,Q37,Q3801107,Q3802107,Q3803107,Q3804107,Q3805107,Q3806107,Q3807107,Q3808107,Q3809107,Q3810107,Q3811107,Q3812107,Q3813107,Q3814107,Q3815107,Q3816107,Q3817107,Q3818107,Q3819107,Q3820107,Q3822107,Q3821xy,Q3901108,Q3902108,Q3903108,Q3904108,Q3905108,Q3906108,Q3907108,Q3908108,Q3909108,Q3910108,Q3911108,Q3912108,Q3913108,Q3914108,Q3915108,Q4001109,Q4002109,Q4003109,Q4004109,Q4005109,Q4006109,Q4007109,Q4008109,Q4009109,Q4010109,Q4011109,Q4012109,Q4013109,Q4014109,Q4015109,Q4016109,Q42_1,Q42_2,Q42_3,Q42_4,Q42_5,Q42_6,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q44_7,Q44_8,Q44_9,Q44_10,Q44_11,Q46,Q47_1,Q47_2,Q48,Q49,Q50,Q52,Q5301110,Q5302110,Q5303110,Q5304110,Q5306110,Q54_1,Q54_2,Q54_3,Q54_4,Q54_5,Q54_6,Q54_7,Q54_8,Q54_9,Q54_10,Q54_11,Q54_12,Q54_13,Q61,Q62,Q6301111,Q6302111,Q6303111,Q6304111,Q6305111,Q6306111,Q6307111,Q6308111,Q6309111,Q6310111,Q6311111,Q6312111,Q6313111,Q6314111,Q6315111,Q6316111,Q6317111,Q6318111,Q6319111,Q6320111,Q6321111,Q70,q55_discrete,q55_2_discrete,q55_3_discrete,q55_1_2,Q70_regions,Q68_bundled,q33_bundled,q27_bundled1112,q27_bundled2112,q27_bundled3112,q27_bundled4112,q27_bundled5112,q27_bundled6112,q27_bundled8112,q27_bundled10112,q27_bundled11112,q27_bundled12112,q27_bundled15112,q27_bundled16112,q27_bundled17112,q27_bundled18112,q27_bundled19112,q27_bundled20112,q27_bundled21112,q27_bundled22112,q27_bundled23112,q27_bundled24112,q27_bundled25112,q27_bundled26112,q27_bundled27112,q27_bundled40112,q27_bundled29112,q27_bundled30112,q27_bundled31112,q27_bundled32112,q27_bundled33112,q27_bundled34112,q27_bundled35112,q27_bundled36112,q27_bundled37112,q27_bundled38112,q27_bundled39112,q27_bundled41112,q27_bundled999112,q28_bundled1113,q28_bundled2113,q28_bundled3113,q28_bundled4113,q28_bundled5113,q28_bundled6113,q28_bundled8113,q28_bundled10113,q28_bundled11113,q28_bundled12113,q28_bundled15113,q28_bundled16113,q28_bundled17113,q28_bundled18113,q28_bundled19113,q28_bundled20113,q28_bundled21113,q28_bundled22113,q28_bundled23113,q28_bundled24113,q28_bundled25113,q28_bundled26113,q28_bundled27113,q28_bundled40113,q28_bundled29113,q28_bundled30113,q28_bundled31113,q28_bundled32113,q28_bundled33113,q28_bundled34113,q28_bundled35113,q28_bundled36113,q28_bundled37113,q28_bundled38113,q28_bundled39113,q28_bundled41113,q28_bundled999OtherOther3,q_eur,Q70_regions,ID,Q1,Q2,Q33,Q41
Europe,Israel,500 - 1500,Transport,Business,Finance/Controlling,Management,Finance/Controlling,,IT,,Logistics,Marketing,,Operations/Production,,Sales,,,Person responsible for BI from IT department,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,In use,In use,In use,2015,Competitively evaluated multiple products,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,Very good,Very good,Very good,Very good,Very good,Very good,Good,Good,Good,Good,Good,High,Moderate,Moderate,High,Moderate,High,Moderate,High,Moderate,Moderate,High,Definitely,Excellent,Excellent,Excellent,1 to less than 3 months,Less than 1 second,500 GB to less than 1 TB,View,Navigate,Explore/Analyze,,,Planned within 12 months,Planned within 12 months,In use,In use,In use,Planned within 12 months,Planned in the long term,Planned in the long term,Planned in the long term,Not required,Planned within 12 months,Planned within 12 months,,Feasible,Very important,,,,,,,,,,,,,,,,,,,,,,Israel,501 - 1000,More than 300,76 - 300,40 to less than 50%,Europe,Transport,Pyramid Analytics,,,,,,,,,,,,,,,,,,,MS Power BI,MS SSRS,,,,,Pyramid Analytics,Qlik Sense,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,Pyramid Analytics,,,,,,,,,,,,,Southern Europe,Europe,100003,English,User,Pyramid Analytics,Yes
South America,Bolivia (Plurinational State of),500 - 1500,Retail/Wholesale,Business,Service,,Finance/Controlling,,,,,Marketing,,,,Sales,,,Person responsible for departmental BI,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,Planned to use within 12 months,Not required,In use,2017,Competitively evaluated multiple products,,,,,Ease of use for report recipients,,,High innovative capacity of the vendor,,,Flexibility,,,,,,,,Deployment option,Availability of skilled people,,,,,,,,,,,,,,,,No significant problems,,,,,,,,,,,,,,,,No significant problems,,Very good,Average,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,Definitely,Good,Satisfactory,Satisfactory,1 to less than 3 months,30 minutes or more,1 to less than 5 GB,View,,,,Create reports,Not required,In use,In use,In use,In use,In use,Planned within 12 months,Planned within 12 months,In use,In use,In use,Planned within 12 months,Planned in the long term,Very feasible,Very important,,,,,,,Geospatial analysis,,,,Sales management and analysis,,,,Real-time process monitoring,,,,,,,Bolivia (Plurinational State of),501 - 1000,25 - 75,Less than 25,5 to less than 10%,South America,Retail/Wholesale,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,South America,100004,English,User,Zoho Reports,Yes
Europe,Italy,500 - 1500,Manufacturing,IT,IT,,Finance/Controlling,,IT,,Logistics,Marketing,Procurement,Operations/Production,,Sales,Service,,Person responsible for BI from IT department,No,,,,,,,,,,,,,,,,,,,,IBM Cognos Analytics,,,,,,,,,MicroStrategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,In use,In use,In use,Before 2010,Evaluated only the selected product,,,Large data handling capacity,,Ease of use for report recipients,Fast query performance,,,Vendor or product reputation,,,,,,,,,,,,,,,,,,Lack of resources on the project team,,,Costs higher than expected,,,,,,,,Administrative problems,,,,,,,,,,,,,,,,,,,,,,Good,Good,Good,Good,Moderate,Moderate,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,High,High,Probably,Good,Good,Satisfactory,3 to less than 6 months,5 to less than 10 seconds,500 GB to less than 1 TB,View,Navigate,Explore/Analyze,,Create reports,Planned within 12 months,Planned in the long term,Planned in the long term,In use,Planned within 12 months,In use,In use,In use,Planned within 12 months,In use,In use,Planned in the long term,In use,Feasible,Important,Pricing and offer optimization,,Customer behavior analysis,,,,,,,,Sales management and analysis,,,,,,,,Predictive analytics,,,Italy,1001 – 2500,25 - 75,25 - 75,1 to less than 5%,Europe,Manufacturing,MicroStrategy,,BOARD,,,,,,,,,,IBM Plan Analytics,,,,,,,,,,,,,,Qlik Sense,,,,,,,,,,,Other,,,,,,,,,,,,IBM Plan Analytics,,,,,,MS Excel,,,MicroStrategy,,,,,,,,,,,,,,,,,Southern Europe,Europe,100012,English,User,MicroStrategy,No
North America,United States of America,1500 - 6000,Public sector and Education,IT,IT,Management,Finance/Controlling,Human resources,IT,Legal,,Marketing,,Operations/Production,R&D,,,,Person responsible for BI from IT department,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Excel stand alone,Microsoft Excel with Add-In,Microsoft Power BI,Microsoft SSRS,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,In use,Planned in the long term,Planned in the long term,Before 2010,Competitively evaluated multiple products,Functionality,,,,,Fast query performance,,High innovative capacity of the vendor,,,,,Price-performance ratio,,,,,Bundled with another product,,,,,,,,,Lack of resources on the project team,,,,,,,,,,,,Company politics,,,,Poor data quality,,,,,,Software not flexible enough,,,,,,,,,,,Good,Good,Good,Good,Good,Moderate,High,Not achieved,High,High,High,Low,High,,High,High,Definitely,Good,None used so far,Good,3 to less than 6 months,1 to less than 5 seconds,1 to less than 5 TB,View,Navigate,Explore/Analyze,,Create reports,Planned in the long term,In use,Planned in the long term,Planned in the long term,Planned in the long term,Planned in the long term,In use,Planned in the long term,In use,In use,,In use,Planned in the long term,Not very feasible,Important,,,Customer behavior analysis,Churn prevention,,,Geospatial analysis,,Unified view of customers,Quality assurance/analysis,,,,,,,,,Predictive analytics,,,United States of America,1001 – 2500,More than 300,More than 300,15 to less than 20%,North America,Public sector and Education,MS SSRS,,,,,,,,,,,,,,,,,,MS Excel,MS Power BI,MS SSRS,,,,,Pyramid Analytics,,,,,,,SAS Enterprise BI,,Tableau,,,Other,,,,,,,,,,,,,,,,,,,MS Power BI,MS SSRS,,,,,,,,,,,,,,,,,Other,,North America,100014,English,User,Microsoft SSRS,No
North America,United States of America,Less than 150,Services,IT,IT,Management,Finance/Controlling,,IT,,Logistics,Marketing,Procurement,Operations/Production,,Sales,Service,,CIO/Head of IT,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TARGIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,Not required,Planned to use within 12 months,Planned to use within 12 months,Planned to use within 12 months,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,,,,,,,,,,,,,,,Other,Very good,Very good,Very good,Average,Very good,Very good,Good,Good,Good,Good,Good,Moderate,High,High,High,High,Moderate,Moderate,Moderate,Moderate,High,High,Definitely,Excellent,Excellent,Satisfactory,,30 to less than 60 seconds,10 to less than 50 GB,View,Navigate,Explore/Analyze,,,Not required,In use,Not required,In use,In use,Planned in the long term,Planned in the long term,Not required,Planned within 12 months,In use,In use,Planned within 12 months,Not required,Feasible,Important,Pricing and offer optimization,,,,,,,,,Quality assurance/analysis,,,,,Real-time process monitoring,,,,,,,United States of America,51-100,Less than 25,Less than 25,10 to less than 15%,North America,Services,TARGIT,,,,,,,,,,,,,,,,,,MS Excel,MS Power BI,MS SSRS,,,,,,,,,,,,,,,TARGIT,,Other,,,,,,,,,,,,,,,,,,MS Excel,MS Power BI,,,,,,,,,,,,,,,,TARGIT,,Other,,North America,100017,English,User,TARGIT,Yes
Europe,Spain,More than 6000,Public sector and Education,IT,IT,Management,Finance/Controlling,,,,,,,Operations/Production,,,Service,,IT employee,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,Not required,In use,Planned in the long term,Planned in the long term,In use,Before 2010,Competitively evaluated multiple products,,,,,,,Predefined data connections,,,Size/financial stability of the vendor,Flexibility,,,,,,,Bundled with another product,,Availability of skilled people,,,Customization of the product,,Lack of expertise of implementation partner,,,,,,,,,,Software-related issues,,,,,,,,Poor data quality,,,,,,,,,,,Good,Good,Good,Good,Good,Good,Moderate,Moderate,Poor,Good,Good,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Not achieved,High,Moderate,Probably,Not very good,None used so far,Satisfactory,1 to less than 2 years,10 to less than 30 seconds,250 to less than 500 GB,,,Explore/Analyze,,,Not required,Not required,Not required,Not required,Not required,Not required,Not required,In use,Not required,Planned in the long term,In use,Not required,Not required,Feasible,Not very important,,,Customer behavior analysis,,,,,,,Quality assurance/analysis,,,,,,,,Corporate performance management,,,,Spain,10001 -  100000,76 - 300,76 - 300,1 to less than 5%,Europe,Public sector and Education,MicroStrategy,,,,,,,,,,,,,,,,,,,,,MicroStrategy,Oracle BI,,,,,,,,,,,,Tableau,,,Other,,,,,,,,,,,,,,,,,,MS Excel,,,MicroStrategy,,,,,,,,,,,,,,,,,Southern Europe,Europe,100020,English,User,MicroStrategy,Yes
Europe,Belgium,More than 6000,Services,IT,IT,Management,Finance/Controlling,Human resources,IT,,,,Procurement,Operations/Production,,,,,Member of a cross-departmental BI team,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,Planned in the long term,Planned in the long term,Not required,Not required,Before 2010,Competitively evaluated multiple products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of project management,,,Software-related issues,,,,,Lack of interest from business users,,,Poor data quality,,,,,,,,Unreliable software,,,,,,,,,Moderate,Moderate,Good,Moderate,Moderate,Moderate,,Moderate,Moderate,,Moderate,,Moderate,,Moderate,High,Probably,Not very good,None used so far,Not very good,,5 to less than 10 seconds,500 GB to less than 1 TB,View,,Explore/Analyze,Model/Enrich,,Planned in the long term,Not required,Planned in the long term,Not required,Planned in the long term,Planned in the long term,In use,In use,Planned within 12 months,Planned within 12 months,In use,Planned within 12 months,,Feasible,Important,,,Customer behavior analysis,,,,Geospatial analysis,,Unified view of customers,Quality assurance/analysis,,,,,,,,,Predictive analytics,,,Belgium,2501 – 10000,More than 300,More than 300,5 to less than 10%,Europe,Services,SAP BO WebI,,,,,,,,,,,,,,,,,,,MS Power BI,,,,,,,,,,,,SAP BO WebI,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAP BO WebI,SAS Enterprise BI,,,,,Other,BeNeLux,Europe,100022,English,User,SAP BO Web Intelligence,No
Europe,Spain,1500 - 6000,Utilities,IT,IT,Management,,,IT,,Logistics,,Procurement,Operations/Production,R&D,,,,Person responsible for BI from IT department,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Excel stand alone,,Microsoft Power BI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Planned to use within 12 months,Planned to use within 12 months,Planned in the long term,Not required,Not required,Not required,Not required,2012,Competitively evaluated multiple products,,,,,,Fast query performance,,,,,,,,,,Proof of concept faster or better,,,,,,,,Data migration,,,,,,,,Lack of project management,,,,,,,,,,,Poor data quality,,,Query performance too slow,,,,,,,,,,,,,,Good,Good,Good,Good,Good,Moderate,Low,Low,Low,Low,Low,Moderate,Moderate,Low,Low,High,Maybe,Satisfactory,Not very good,Satisfactory,6 to less than 12 months,10 to less than 30 seconds,250 to less than 500 GB,View,Navigate,,,,In use,Not required,Not required,Planned within 12 months,Planned in the long term,Planned in the long term,Not required,Not required,Planned in the long term,Planned within 12 months,Planned within 12 months,Planned within 12 months,Not required,Feasible,Important,,,,,,,,,,,,,,,,,IoT analytics,,Predictive analytics,,,Spain,1001 – 2500,More than 300,More than 300,20 to less than 30%,Europe,Utilities,QlikView,,,,,,,,,,,,,,,,,,,MS Power BI,,MicroStrategy,Oracle BI,,,,,QlikView,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS Power BI,MS SSRS,MicroStrategy,Oracle BI,,,,,QlikVIew,,,,,,,,,,Other,Southern Europe,Europe,100025,English,User,QlikView,No
Europe,Netherlands,500 - 1500,Retail/Wholesale,Business,Finance/Controlling,Management,Finance/Controlling,,,,Logistics,Marketing,Procurement,Operations/Production,,Sales,,,Member of a cross-departmental BI team,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,Planned to use within 12 months,In use,In use,2012,Competitively evaluated multiple products,,,,Ease of use for report designers,Ease of use for report recipients,,Predefined data connections,High innovative capacity of the vendor,,,Flexibility,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,,Lack of interest from business users,,,,,,,,,,,,,,Good,Very good,Very good,Good,Good,Very good,Good,Good,Good,Good,Good,,High,High,Moderate,Moderate,,Not achieved,,Not achieved,High,High,Definitely,Excellent,Excellent,Satisfactory,1 to less than 3 months,1 to less than 5 seconds,50 to less than 100 GB,View,Navigate,,,,In use,Planned within 12 months,Not required,In use,Planned in the long term,In use,Planned in the long term,In use,Not required,In use,Not required,Not required,In use,Not very feasible,Important,,Supply network optimization,,,,,,,,,Sales management and analysis,,,,,,,Corporate performance management,,,,Netherlands,1001 – 2500,76 - 300,76 - 300,5 to less than 10%,Europe,Retail/Wholesale,Other,,,,,,,,,,,,,,,,,,,,,,Oracle BI,,,,,,,,SAP BO Analysis,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,BeNeLux,Europe,100028,English,User,CXO-Cockpit,Yes
Europe,Switzerland,1500 - 6000,Services,Business,Finance/Controlling,Management,Finance/Controlling,Human resources,IT,,Logistics,Marketing,Procurement,Operations/Production,,,Service,,Person responsible for departmental BI,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,Planned in the long term,Not required,Not required,2011,Competitively evaluated multiple products,,,Large data handling capacity,Ease of use for report designers,Ease of use for report recipients,Fast query performance,,,,,,,,,,,,,,Availability of skilled people,,,,,,,Lack of resources on the project team,,Tight deadline,,,,,,,,,,,,,,Poor data quality,,,,,,,,,,,Good,Very good,Good,Average,Good,Very good,Good,Good,Good,Moderate,Good,Moderate,Moderate,High,Moderate,High,Low,Low,Moderate,Moderate,High,High,Definitely,Good,Excellent,Good,6 to less than 12 months,Less than 1 second,100 to less than 250 GB,,Navigate,Explore/Analyze,,,Not required,Not required,Not required,Not required,Not required,Not required,In use,Not required,Not required,In use,Not required,Not required,Not required,Not very feasible,Not very important,,,Customer behavior analysis,,,,,,,Quality assurance/analysis,Sales management and analysis,,,,,Capacity/resource planning,,,,,Other,Switzerland,2501 – 10000,76 - 300,76 - 300,5 to less than 10%,Europe,Services,QlikView,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAP BO Analysis,SAP BO WebI,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,QlikVIew,,,,,,,,,,,DACH,Europe,100031,Deutsch,User,QlikView,Yes
