Peer,vendor,KPI,value,place
Large international BI vendors,Cyberscience,Business benefits,4.4279974,Top-ranked
Large international BI vendors,Peer Group Average,Business benefits,5.8,Top-ranked
Large international BI vendors,DigDash,Business benefits,5.937371212,Top-ranked
Large international BI vendors,Dimensional Insight,Business benefits,8.429486966,Top-ranked
Large international BI vendors,Domo,Business benefits,9.319997464,Top-ranked
Large international BI vendors,Dundas,Business benefits,5.290496721,Top-ranked
Large international BI vendors,Phocas,Business benefits,10,Top-ranked
Large international BI vendors,prevero (MIK),Business benefits,5.275402527,Top-ranked
Large international BI vendors,prevero (prevero),Business benefits,9.870820835,Top-ranked
Large international BI vendors,Pyramid Analytics,Business benefits,8.479267056,Top-ranked
Large international BI vendors,Qlik Sense,Business benefits,9.543962532,Top-ranked
Large international BI vendors,QlikView,Business benefits,9.294466809,Top-ranked
Large international BI vendors,SAP BEx,Business benefits,1,Top-ranked
Large international BI vendors,SAP BO Analysis,Business benefits,2.878518894,Top-ranked
Americas-focused vendors,BOARD,Business benefits,6.748351509,Leader
Americas-focused vendors,BOARD,Project success,6.371399439,Leader
Americas-focused vendors,BOARD,Price-to-value,7.545858171,Leader
Americas-focused vendors,BOARD,Recommendation,6.89860835,Leader
Americas-focused vendors,BOARD,Vendor support,7.344789821,Leader
Americas-focused vendors,BOARD,Implementer support,7.768465174,Leader
Americas-focused vendors,BOARD,Customer satisfaction,6.942036565,Leader
Americas-focused vendors,BOARD,Ease of use,6.745032043,Leader
Americas-focused vendors,BOARD,Sales experience,6.231740307,Leader
Americas-focused vendors,BOARD,Cloud BI,2.559843035,Leader
Americas-focused vendors,BOARD,Mobile BI,2.58002736,Leader
Americas-focused vendors,BOARD,Operational BI,5.656662665,Leader
Americas-focused vendors,BOARD,Embedded BI,1.894886364,Leader
Americas-focused vendors,CALUMO,Business benefits,7.95166583,Leader
Americas-focused vendors,CALUMO,Project success,5.645070672,Leader
Americas-focused vendors,CALUMO,Price-to-value,9.535200411,Leader
Americas-focused vendors,CALUMO,Recommendation,7.151783178,Leader
Americas-focused vendors,CALUMO,Vendor support,8.394524078,Leader
Americas-focused vendors,CALUMO,Implementer support,8.684438482,Leader
Americas-focused vendors,CALUMO,Customer satisfaction,8.357878706,Leader
Americas-focused vendors,CALUMO,Ease of use,5.936537914,Leader
Americas-focused vendors,CALUMO,Sales experience,8.076645627,Leader
